CODIGO_AERONAVE,DATA_VALIDADE,OPERADOR,CNPJ,TIPO_USO,FABRICANTE,MODELO,NUMERO_SERIE,PESO_MAXIMO_DECOLAGEM_KG,RAMO_ATIVIDADE,VENCIDO
PP-000518344,2024-02-09,VALE S.A,33.592.510/0132-13,Básico,DJI,Mavic 2 Enterprise,276CJ1RR0A0LYT,0.734,Aeroinspeção,VENCIDO
PP-000978668,2024-02-09,VALE S.A,33.592.510/0132-13,Básico,DJI,Drone Mavic 2 Zoom ,OM6CH3GR0A0DT6,0.907,Aeroinspeção,VENCIDO
PP-000501415,2024-02-09,VALE S.A,33.592.510/0132-13,Básico,DJI,Drone Mavic 2 Zoom ,0M6CH3ER0A0D08,0.907,Aeroinspeção,VENCIDO
PP-210067160,2024-02-09,VALE/SA,33.592.510/0145-38,Básico,PARROT,ANAFI WORK,2800BA8H067160,0.32,Aerofotografia,VENCIDO
PP-001196170,2024-02-09,VALE S.A,33.592.510/0132-13,Básico,DJI,Drone Mavic 2 Zoom ,M6CH3HR0A0F3N,0.907,Aeroinspeção,VENCIDO
PP-450000122,2024-01-26,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,4GCCJ5CR0A0A0V,0.91,Aeroinspeção,VENCIDO
PP-082012022,2024-01-26,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,0M8CHARRQA2ECT,0.91,Aeroinspeção,VENCIDO
PP-060291022,2024-01-25,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,0M6CHAMR0A29P1,0.91,Aeroinspeção,VENCIDO
PP-000006361,2024-01-19,VALE S.A.,33.592.510/0007-40,Básico,DJI,Mavic,163DFC4O01S92U,0.91,Aerofotografia,VENCIDO
PP-039163277,2024-01-14,VALE S.A.,33.592.510/0037-65,Básico,DJI,Phantom 4 Pro,OAXCE6KOB30515,2.0,Aerofotografia,VENCIDO
PP-202006134,2024-01-12,VALE - MINA MANGANES DO AZUL,33.592.510/0130-51,Básico,DJI,Phantom 4,07DDE330R03822R,2.0,Aeroinspeção,VENCIDO
PP-108003200,2023-12-22,VALE S.A.,33.592.510/0007-40,Básico,DJI,Mavic,163CGC4R0A6P7,0.91,Aerofotografia,VENCIDO
PP-000100028,2023-11-27,VALE S.A.,33.592.510/0021-06,Básico,DJI,Phantom 4 Pro,OAXDDALO20215,1.38,Aerofotografia,VENCIDO
